Time	"Time Code"	"Country Name"	"Country Code"	"Adolescents out of school (% of lower secondary school age) [SE.SEC.UNER.LO.ZS]"	"Secondary education, pupils [SE.SEC.ENRL]"	"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"	"Pupil-teacher ratio, secondary [SE.SEC.ENRL.TC.ZS]"	"Compulsory education, duration (years) [SE.COM.DURS]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"Population density (people per sq. km of land area) [EN.POP.DNST]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Surface area (sq. km) [AG.SRF.TOTL.K2]"	"Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS]"	"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
2015	"YR2015"	"Djibouti"	"DJI"	"47.66138"	"59483"	""	"22.77297"	"10"	"1787.47750003268"	"39.4302415875755"	"22.583"	"23200"	""	""	"64.136"
2015	"YR2015"	"Dominica"	"DMA"	"2.00299"	"5561"	"3.38688"	"10.69423"	"12"	"7597.75044603346"	"94.9106666666667"	"30.421"	"750"	""	""	""
2015	"YR2015"	"Dominican Republic"	"DOM"	"1.99417"	"929493"	""	"22.09344"	"15"	"6691.71691989488"	"212.827157938315"	"21.434"	"48670"	"0.5"	""	"73.241"
2015	"YR2015"	"Ecuador"	"ECU"	"1.54987"	"1932353"	"4.9987"	"22.35071"	"15"	"6124.49164262072"	"65.27629247866"	"36.602"	"256370"	"1.2"	"3.61570000648499"	"76.143"
2015	"YR2015"	"Egypt, Arab Rep."	"EGY"	""	""	""	""	"12"	"3598.9709482021"	"92.8650831282335"	"57.215"	"1001450"	"0.2"	"13.0522003173828"	"71.302"
2015	"YR2015"	"El Salvador"	"SLV"	"6.9827"	"599947"	"3.95582"	"30.84663"	"15"	"3705.57794598177"	"305.266602316602"	"30.3"	"21040"	"0.4"	"3.99830007553101"	"72.412"
2015	"YR2015"	"Equatorial Guinea"	"GNQ"	""	""	""	""	"6"	"11278.9289413309"	"41.6601782531194"	"29.384"	"28050"	""	""	"57.359"
2015	"YR2015"	"Eritrea"	"ERI"	"35.42381"	"245806"	""	"38.88105"	"8"	""	""	""	"117600"	""	""	"64.664"
2015	"YR2015"	"Estonia"	"EST"	"0.77113"	"77910"	"5.13904"	""	"9"	"17412.4486731613"	"30.26011042098"	"31.584"	"45340"	"0.4"	"6.18660020828247"	"77.590243902439"
2015	"YR2015"	"Eswatini"	"SWZ"	"2.76242"	"100494"	""	"15.79598"	"7"	"3641.40858337825"	"64.1886046511628"	"76.7"	"17360"	""	""	"55.359"
2015	"YR2015"	"Ethiopia"	"ETH"	"47.04813"	"5028678"	"4.73792"	""	"8"	"639.304359734944"	"100.835458"	"80.572"	"1104300"	"8.9"	""	"65.048"
2015	"YR2015"	"Faroe Islands"	"FRO"	""	""	""	""	"9"	"52404.6593331379"	"34.4204856011033"	"58.362"	"1396.00006103516"	""	""	"81.9463414634146"
2015	"YR2015"	"Fiji"	"FJI"	""	""	""	""	""	"5390.74525792812"	"47.5438970990695"	"45.274"	"18270"	""	""	"67.103"
2015	"YR2015"	"Finland"	"FIN"	"0.74158"	"540067"	"7.08008"	""	"9"	"42494.6566238083"	"18.0301108880919"	"14.775"	"338446.015625"	"0"	"9.37590026855469"	"81.4804878048781"
2015	"YR2015"	"France"	"FRA"	"2.20662"	"5982868"	"5.46424"	""	"10"	"36613.3752159613"	"121.619058746667"	"20.345"	"549086.9921875"	"0"	"10.3593997955322"	"82.3219512195122"
2015	"YR2015"	"French Polynesia"	"PYF"	""	""	""	""	""	""	"74.624043715847"	"38.317"	"4000"	""	""	"76.787"
2015	"YR2015"	"Gabon"	"GAB"	""	""	""	""	"10"	"7381.74674851952"	"7.55883882485349"	"11.882"	"267670"	""	""	"64.913"
2015	"YR2015"	"Gambia, The"	"GMB"	""	""	""	""	"9"	"668.381202871118"	"206.112648221344"	"40.772"	"11300"	"2.2"	""	"60.91"
2015	"YR2015"	"Georgia"	"GEO"	"0.39258"	"277874"	""	"7.24706"	"9"	"3756.38376806909"	"65.1750586094685"	"42.552"	"69700"	"0.9"	"16.5058994293213"	"72.973"
2015	"YR2015"	"Germany"	"DEU"	""	"7112950"	"4.80518"	"12.13371"	"13"	"41394.6581607948"	"234.153668555637"	"22.8"	"357408.984375"	"0"	"4.62419986724854"	"80.6414634146341"
2015	"YR2015"	"Ghana"	"GHA"	"9.48773"	"2439501"	"4.51089"	"16.61254"	"11"	"1766.00570089157"	"122.392568339633"	"45.914"	"238540"	""	"6.80620002746582"	"62.772"
2015	"YR2015"	"Gibraltar"	"GIB"	""	""	""	""	"10"	""	"3373.6"	"0"	"10"	""	""	""
2015	"YR2015"	"Greece"	"GRC"	"3.59568"	"662741"	""	"8.66634"	"10"	"18167.7737169162"	"83.947889837083"	"21.954"	"131960"	"0.8"	"24.8971004486084"	"81.0365853658537"
